symbol,name,is_st,concepts,trade_date,open,high,low,close,pre_close,volume,amount,change_ratio,float_capital,main_net_inflow,prev_close,prev_amount,ma5,ma10,ma20,amt_ma20,high20,low20,next_open,next_high,next_low,next_close,is_st_flag,is_kcb,is_bj,body_pct,amp_pct,turnover_ratio_vs20,pullback_to_ma20,near_high20,near_low20,capital_score_raw,trend_pass,pattern_trend_raw,consecutive_boards,is_first_limit_up,seal_amount,bomb_count,concept_tags,limitup_count,avg_boards,avg_topic_count,emotion_name,pattern_score,trend_score,capital_score,topic_strength,limitup_score,intent_proxy_score,intent_label_proxy,mode,score,rank,hit_tp3,hit_tp5,hit_tp8,hit_sl7,next_close_positive,next_return_close_pct,next_return_open_pct,next_intraday_max_pct,next_intraday_min_pct
001233.SZ,,,,2026-01-09,64.5,66.96,64.12,66.3,64.7,6062566.0,400810180.73,2.4729520865533,2346086496.0,18556550.0,64.7,479572228.12,63.636,61.685,61.2255,247210981.601,67.47,57.77,66.31,69.5,66.31,68.63,False,False,False,2.7906976744186003,4.429195258889565,1.621328381669185,8.288213244481467,0.9826589595375722,14.765449195083944,18556550.0,True,73.46074853584955,0.0,,0.0,0,,109.0,2.220183486238532,3.220183486238532,未知,25.292536566440898,99.37645612760761,100.0,100.0,50.0,48.94587219923761,多空分歧,trend,64.30098722623191,1.0,1,0,0,0,1,3.5143288084464532,0.015082956259434566,4.826546003016595,0.015082956259434566
301638.SZ,,,,2026-01-12,20.88,22.05,20.68,21.93,20.71,63196792.0,1354917314.22,5.8908739739256,5153114886.87,84366763.0,20.71,945917337.39,20.582,19.907000000000004,19.811,699642190.0395,22.05,18.6,22.26,24.0,21.19,22.88,False,False,False,5.028735632183912,6.6247582205029065,1.9365860628609388,10.696077936499924,0.9945578231292517,17.9032258064516,84366763.0,True,67.76123209006963,0.0,,0.0,0,,201.0,1.9104477611940298,3.199004975124378,未知,18.444299219289558,100.0,100.0,100.0,50.0,70.96886930630771,偏多建仓,trend,62.834898487666045,1.0,1,1,1,0,1,4.331965344277243,1.504787961696315,9.439124487004106,-3.374373005015953
301638.SZ,,,,2026-01-13,22.26,24.0,21.19,22.88,21.93,79907602.0,1786852439.33,4.3319653442772,5376346037.92,37286559.0,21.93,1354917314.22,21.208,20.233,19.9,726503343.7559999,24.0,18.6,22.46,23.1,21.56,22.04,False,False,False,2.785265049415981,13.260972156677672,2.459524040305207,14.9748743718593,0.9533333333333333,23.01075268817203,37286559.0,True,41.70915679543622,0.0,,0.0,0,,75.0,2.1333333333333333,3.1466666666666665,未知,0.0,93.59215588547384,100.0,86.3535153980244,50.0,72.1484840657292,偏多建仓,trend,54.568631123470134,1.0,0,0,0,0,0,-3.6713286713286704,-1.8356643356643276,0.9615384615384722,-5.769230769230771
001233.SZ,,,,2026-01-16,70.65,76.78,70.15,76.78,69.8,5623356.0,418396156.53,10.0,2716930937.6,83581155.0,69.8,341462693.11,69.98800000000001,66.81199999999998,63.247,281919491.2815,76.78,58.35,76.78,84.46,76.78,84.06,False,False,False,8.676574663835805,9.451176051318596,1.4840980119115865,21.397062311255873,1.0,31.585261353898886,83581155.0,True,46.53241677870538,1.0,True,1586781.0,0,"全钢巨胎,订单饱满,出海",67.0,1.6119402985074627,3.08955223880597,未知,0.0,100.0,100.0,77.99699931487247,50.0,60.5532374427511,偏多建仓,trend,53.855023675762354,1.0,1,1,1,0,1,9.481635842667362,0.0,10.002604845011712,0.0
001233.SZ,,,,2026-01-19,76.78,84.46,76.78,84.06,76.78,9907303.0,808197819.31,9.4816358426674,2974540435.2,60229461.0,76.78,418396156.53,73.07400000000001,69.184,64.50099999999999,313308076.29699993,84.46,58.35,82.19,86.58,79.42,80.8,False,False,False,9.481635842667362,10.002604845011712,2.5795626747389364,30.32356087502522,0.9952640303102062,44.06169665809769,60229461.0,True,59.49971635405777,0.0,,0.0,0,,39.0,0.0,0.0,未知,8.517699104059444,100.0,100.0,39.88378849506101,50.0,80.05545233595747,强势吸筹,trend,54.1233488591167,1.0,0,0,0,0,0,-3.8781822507732633,-2.2246014751368124,2.9978586723768688,-5.519866761836783
301638.SZ,,,,2026-01-19,22.02,23.45,22.02,23.12,22.26,51809825.0,1188973031.23,3.863432165319,5432741276.08,60210763.0,22.26,1408532192.05,22.404000000000003,21.493,20.440500000000004,844055653.474,24.0,18.6,23.45,24.17,22.63,22.88,False,False,False,4.995458673932795,6.494096276112623,1.4086429328876295,13.10877913945352,0.9633333333333334,24.3010752688172,60210763.0,True,47.922401176987165,0.0,,0.0,0,,39.0,0.0,0.0,未知,0.0,95.56459466712131,100.0,39.88378849506101,50.0,53.55828278893914,多空分歧,trend,48.45712606182428,2.0,1,0,0,0,0,-1.0380622837370328,1.4273356401384008,4.541522491349484,-2.119377162629766
601966.SH,玲珑轮胎,否,"比亚迪概念,新能源汽车,机器人概念,长安汽车概念,人工智能,DeepSeek概念,农机,智能物流,回购增持再贷款概念,一带一路,体育产业,富时罗素概念,汽车制造概念,沪股通,融资融券,转融券标的",2026-03-02,15.02,15.28,15.0,15.17,15.3,18009758.0,273018540.0,-0.84967320261438,22201335701.11,,15.3,15.25,15.216,15.206999999999999,15.144,13650941.3815,15.54,14.6,15.16,15.24,14.79,14.82,False,False,False,0.9986684420772327,1.8666666666666623,19.99997892965826,0.171685155837294,0.9761904761904763,3.9041095890410977,0.0,True,141.46656017016932,0.0,,0.0,0,,0.0,0.0,0.0,未知,100.0,98.10058738638232,74.92329718164486,0.0,50.0,98.5665460180607,强势吸筹,trend,80.71526665632926,1.0,0,0,0,0,0,-2.3071852340145,-0.06591957811469866,0.4614370468029023,-2.5049439683586074
002116.SZ,中国海诚,否,"固态电池,动力电池回收,机器人概念,DeepSeek概念,数据要素,央企国企改革,智能物流,一带一路,光伏建筑一体化,参股券商,国企改革,污水处理,固废处理,垃圾分类,乡村振兴,雄安新区,土壤修复,建筑节能,新型城镇化,装配式建筑,特色小镇,啤酒概念,中字头股票,深股通",2026-03-02,11.11,11.17,10.91,11.08,11.22,7278000.0,80490878.0,-1.2477718360071,5104555567.88,,11.22,11.17,11.116,11.029,11.004000000000001,4024554.3329999996,11.25,10.74,11.08,11.15,10.83,10.84,False,False,False,-0.2700270027002643,2.383134738771767,19.999948153265496,0.690657942566328,0.9848888888888889,3.1657355679702035,0.0,True,135.18098483785138,0.0,,0.0,0,,0.0,0.0,0.0,未知,99.45230631872137,99.8162960408947,74.92329718164486,0.0,50.0,98.5665460180607,强势吸筹,trend,80.69577559718027,2.0,0,0,0,0,0,-2.1660649819494604,0.0,0.6317689530685946,-2.256317689530686
002332.SZ,仙琚制药,否,"国企改革,辅助生殖,创新药,医药电商,仿制药一致性评价,毛发医疗,地方国企改革,富时罗素概念,深股通,融资融券,转融券标的",2026-03-02,9.32,9.39,9.24,9.31,9.4,15034695.0,139954096.65,-0.95744680851064,9166381249.41,,9.4,9.39,9.308,9.282,9.2605,6997713.6265,9.55,9.07,9.34,9.39,9.13,9.17,False,False,False,-0.1072961373390535,1.6233766233766271,19.999974866076354,0.5345283731979925,0.974869109947644,2.6460859977949305,0.0,True,136.5245894174644,0.0,,0.0,0,,0.0,0.0,0.0,未知,100.0,97.83995598417012,74.92329718164486,0.0,50.0,98.5665460180607,强势吸筹,trend,80.57236863375834,3.0,0,0,0,0,0,-1.5037593984962465,0.3222341568206161,0.8592910848549953,-1.9334049409237348
002523.SZ,天桥起重,否,"华为概念,机器人概念,回购增持再贷款概念,军工,冰雪产业,体育产业,国企改革,风电,固废处理,一带一路,雅下水电概念,核电,水利,地方国企改革,智慧停车,机械装备,深股通,融资融券,转融券标的",2026-03-02,4.6,4.67,4.5,4.55,4.66,37547576.0,171926532.58,-2.3605150214592,6422519207.65,,4.66,4.67,4.6160000000000005,4.581999999999999,4.546499999999999,8596330.947500002,4.69,4.35,4.56,4.58,4.24,4.25,False,False,False,-1.0869565217391266,3.7777777777777763,19.999989952690218,0.07698229407237932,0.9701492537313432,4.597701149425292,0.0,True,136.8207149312179,0.0,,0.0,0,,0.0,0.0,0.0,未知,100.0,96.90899323968696,74.92329718164486,0.0,50.0,98.5665460180607,强势吸筹,trend,80.4769478269902,4.0,0,0,0,0,0,-6.5934065934065895,0.21978021978021509,0.6593406593406648,-6.813186813186804
